"","Name","Class","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"82","Kassadin","Assassin","MID","B",44.5,"-2.95","51.52%","95.54%","1.21%","0.33%",2.64,"13_24"
"83","Katarina","Assassin","MID","S",54.02,"+0.72","53.06%","97.02%","3.41%","1.49%",2.68,"13_24"
"84","Kayle","Fighter","TOP","B",47.91,"-0.54","51.73%","95.88%","1.97%","0.55%",1.85,"13_24"
"85","Kayn","Fighter","JUNGLE","B",46.66,"-1.50","48.73%","94.56%","4.51%","0.93%",2.47,"13_24"
"86","Kennen","Mage","TOP","B",48.37,"-2.25","50.22%","84.60%","2.76%","2.15%",2.02,"13_24"
"87","Kennen","Mage","MID","C",42.21,"-12.34","52.27%","12.36%","0.40%","1.98%",2.37,"13_24"
"88","Kha'Zix","Assassin","JUNGLE","B",47.89,"+0.16","49.64%","97.85%","4.23%","0.93%",2.49,"13_24"
"89","Kindred","Marksman","JUNGLE","B",48.09,"-2.06","51.01%","97.46%","2.96%","1.07%",2.33,"13_24"
"90","Kled","Fighter","TOP","B",45.86,"-4.97","50.68%","86.00%","1.19%","0.31%",2.19,"13_24"
"91","Kled","Fighter","MID","B",44.03,"999NEW","52.61%","12.82%","0.20%","0.32%",2.72,"13_24"
"92","Kog'Maw","Marksman","ADC","C",42.46,"+3.77","53.55%","85.48%","0.77%","0.10%",2.12,"13_24"
"93","Kog'Maw","Marksman","MID","D",27.97,"-15.84","45.79%","10.39%","0.10%","0.09%",2.14,"13_24"
"94","LeBlanc","Assassin","MID","God",62.25,"+12.32","49.23%","82.96%","6.78%","19.90%",2.81,"13_24"
"95","LeBlanc","Assassin","SUPPORT","B",46.98,"-1.60","50.41%","15.66%","0.97%","17.90%",2.49,"13_24"
"96","Lee Sin","Fighter","JUNGLE","God",94.19,"+0.63","51.37%","97.22%","29.26%","29.34%",3.02,"13_24"
"97","Leona","Tank","SUPPORT","S",54.78,"+6.49","50.46%","99.32%","6.36%","3.06%",2.37,"13_24"
"98","Lillia","Fighter","JUNGLE","B",45.15,"-7.10","49.10%","89.71%","1.75%","0.32%",2.74,"13_24"
"99","Lissandra","Mage","MID","A",50.62,"+0.80","52.55%","90.76%","2.76%","0.53%",2.58,"13_24"
"100","Lucian","Marksman","ADC","God",78.68,"+35.26","52.20%","95.27%","22.32%","16.24%",2.53,"13_24"
"101","Lulu","Support","SUPPORT","A",51.96,"+3.26","49.08%","98.08%","4.91%","0.76%",2.88,"13_24"
"102","Lux","Mage","SUPPORT","A",48.52,"-2.26","46.62%","80.07%","6.66%","3.46%",2.12,"13_24"
"103","Lux","Mage","MID","B",45.96,"-0.15","51.33%","20.84%","1.50%","3.36%",2.8,"13_24"
"104","Malphite","Tank","TOP","S",57.28,"-1.07","49.68%","78.12%","5.22%","7.39%",2.5,"13_24"
"105","Malphite","Tank","MID","D",39.92,"-8.33","49.75%","15.25%","0.88%","7.51%",2.54,"13_24"
