Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA,Patch
Kennen,Mage,TOP,A,49.39,0.53,0.5009,0.7898,0.0294,0.0188,2.01,13_7
Kennen,Mage,MID,B,44.65,-3.11,0.5310,0.1695,0.0060,0.0188,2.38,13_7
Kha'Zix,Assassin,JUNGLE,A,52.85,3.21,0.5026,0.9785,0.0523,0.0202,2.57,13_7
Kindred,Marksman,JUNGLE,A,51.14,4.12,0.5029,0.9416,0.0502,0.0482,2.27,13_7
Kled,Fighter,TOP,A,52.05,1.28,0.5124,0.8782,0.0271,0.0177,2.29,13_7
Kog'Maw,Marksman,ADC,D,35.15,0.87,0.5203,0.8793,0.0173,0.0035,2.18,13_7
LeBlanc,Assassin,MID,S,55.91,-2.15,0.4786,0.9169,0.0522,0.0909,2.83,13_7
Lee Sin,Fighter,JUNGLE,God,91.18,-1.64,0.4849,0.9270,0.1486,0.1148,2.69,13_7
Leona,Tank,SUPPORT,A,49.66,-0.16,0.4983,0.9847,0.0457,0.0377,2.32,13_7
Lillia,Fighter,JUNGLE,A,48.59,4.16,0.5245,0.8515,0.0243,0.0107,2.84,13_7
Lillia,Fighter,TOP,B,43.08,4.69,0.5174,0.1154,0.0036,0.0114,2.01,13_7
Lissandra,Mage,MID,A,53.29,2.17,0.5081,0.9425,0.0401,0.0154,2.48,13_7
Lucian,Marksman,ADC,B,45.2,-0.33,0.5009,0.9192,0.0714,0.0167,2.29,13_7
Lulu,Support,SUPPORT,S,66.05,9.51,0.4885,0.9786,0.0938,0.0826,2.94,13_7
Lux,Mage,SUPPORT,God,77.29,16.72,0.5002,0.6932,0.1198,0.1194,2.41,13_7
Lux,Mage,MID,S,61.08,0.46,0.5139,0.2792,0.0459,0.1194,2.91,13_7
Malphite,Tank,TOP,God,96.98,-0.16,0.5239,0.7779,0.1077,0.2513,2.52,13_7
Malphite,Tank,MID,B,47.24,0,0.5141,0.1040,0.0141,0.2513,2.6,13_7
Malzahar,Mage,MID,A,50.67,-3.84,0.5049,0.8983,0.0364,0.0473,2.24,13_7
Maokai,Tank,TOP,B,47.56,4.06,0.5199,0.2099,0.0093,0.0131,2.38,13_7
Maokai,Tank,JUNGLE,B,46.62,0.6,0.5195,0.4457,0.0185,0.0129,3.05,13_7
Maokai,Tank,SUPPORT,B,44.4,-3.16,0.5196,0.3442,0.0143,0.0129,2.32,13_7
Master Yi,Assassin,JUNGLE,God,68.9,7.22,0.5056,0.9300,0.0813,0.1844,2.1,13_7
Milio,Support,SUPPORT,God,88.33,-5.75,0.5136,0.9864,0.1282,0.1795,3.35,13_7
Miss Fortune,Marksman,ADC,A,52.56,-0.64,0.5087,0.8830,0.0941,0.0231,2.23,13_7
Mordekaiser,Fighter,TOP,God,71.33,-0.35,0.5144,0.8525,0.0744,0.1278,1.93,13_7
Morgana,Mage,SUPPORT,S,62.27,7.51,0.4927,0.9019,0.0652,0.2716,2.38,13_7
Nami,Support,SUPPORT,S,56.17,3.34,0.5016,0.9939,0.0566,0.0089,3.11,13_7
Nasus,Fighter,TOP,S,56.36,2.33,0.5099,0.8150,0.0440,0.0391,1.97,13_7
Nasus,Fighter,MID,C,40.22,2.1,0.5148,0.1016,0.0038,0.0391,2.24,13_7
Nautilus,Tank,SUPPORT,S,66.97,10.98,0.5041,0.9626,0.0925,0.1142,2.32,13_7
Neeko,Mage,MID,C,40.74,-1.65,0.4985,0.5753,0.0130,0.0046,2.29,13_7
